epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.57228,0.78792,3.70221,1.40147,0.0033,1,0.0554,0.03204,0.7674,3.67025,1.41831,0.000463056,0.000463056,0.000463056
2,0.92138,0.97877,4.26651,1.42677,0.0033,1,0.04917,0.02829,0.7674,3.67025,1.41831,0.001012,0.001012,0.001012
3,1.23665,0.91454,3.71351,1.36385,0.0033,1,0.04917,0.02829,0.7674,3.67025,1.41831,0.00155361,0.00155361,0.00155361
4,1.55215,0.79048,3.65526,1.28399,0.0033,1,0.05629,0.03061,0.81771,3.65576,1.44009,0.00163399,0.00163399,0.00163399
5,1.86524,1.10128,3.83892,1.73178,0.0033,1,0.05629,0.03061,0.81771,3.65576,1.44009,0.00162299,0.00162299,0.00162299
6,2.17981,0.86261,3.7181,1.4499,0.00331,1,0.06064,0.03455,0.89036,3.61857,1.48774,0.00161199,0.00161199,0.00161199
7,2.49944,1.0452,3.87558,1.58917,0.00331,1,0.06064,0.03455,0.89036,3.61857,1.48774,0.00160099,0.00160099,0.00160099
8,2.82486,0.9171,3.73148,1.33699,0.00331,1,0.06064,0.03455,0.89036,3.61857,1.48774,0.00158998,0.00158998,0.00158998
9,3.15648,0.98678,3.77523,1.51611,0.00331,1,0.06613,0.04264,0.89752,3.64741,1.48246,0.00157898,0.00157898,0.00157898
10,3.47607,0.94748,3.78095,1.4405,0.00331,1,0.06613,0.04264,0.89752,3.64741,1.48246,0.00156798,0.00156798,0.00156798
11,3.81071,1.09115,4.20038,1.50058,0.68117,0.25,0.2632,0.02998,2.52066,5.01452,6.48657,0.00155698,0.00155698,0.00155698
12,4.12118,2.30776,4.00779,3.25584,0.68117,0.25,0.2632,0.02998,2.52066,5.01452,6.48657,0.00154598,0.00154598,0.00154598
