epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13.5508,0.94226,1.84813,1.35525,0.39283,0.83333,0.69125,0.34899,1.46849,5.7846,2.71777,0.000973861,0.000973861,0.000973861
44,13.841,0.90215,1.79798,1.44207,0.39283,0.83333,0.69125,0.34899,1.46849,5.7846,2.71777,0.000957358,0.000957358,0.000957358
45,14.1233,0.80955,1.81982,1.28563,0.39283,0.83333,0.69125,0.34899,1.46849,5.7846,2.71777,0.000940855,0.000940855,0.000940855
46,14.4066,0.93081,1.79287,1.40017,0.60085,0.9799,0.95375,0.30046,1.74972,9.51341,2.9086,0.000924352,0.000924352,0.000924352
47,14.6646,0.98216,1.83338,1.49055,0.60085,0.9799,0.95375,0.30046,1.74972,9.51341,2.9086,0.000907848,0.000907848,0.000907848
48,14.9323,0.76906,1.70863,1.21571,0.60085,0.9799,0.95375,0.30046,1.74972,9.51341,2.9086,0.000891345,0.000891345,0.000891345
49,15.192,1.04558,2.00792,1.54642,0.60085,0.9799,0.95375,0.30046,1.74972,9.51341,2.9086,0.000874842,0.000874842,0.000874842
50,15.4797,0.92609,1.7339,1.41061,0.73542,0.58333,0.84567,0.1944,1.89517,4.07228,3.1182,0.000858338,0.000858338,0.000858338
51,15.7502,0.78784,1.52603,1.23202,0.73542,0.58333,0.84567,0.1944,1.89517,4.07228,3.1182,0.000841835,0.000841835,0.000841835
52,16.0248,0.85895,1.66396,1.28839,0.73542,0.58333,0.84567,0.1944,1.89517,4.07228,3.1182,0.000825332,0.000825332,0.000825332
53,16.2915,0.73377,1.53368,1.26988,0.89252,0.25,0.49655,0.2492,1.60446,3.5267,2.68544,0.000808828,0.000808828,0.000808828
54,16.5503,0.66662,1.32335,1.15338,0.89252,0.25,0.49655,0.2492,1.60446,3.5267,2.68544,0.000792325,0.000792325,0.000792325
55,16.8081,0.82239,1.53053,1.33221,0.89252,0.25,0.49655,0.2492,1.60446,3.5267,2.68544,0.000775822,0.000775822,0.000775822
56,17.0656,0.72417,1.61023,1.20546,0.89252,0.25,0.49655,0.2492,1.60446,3.5267,2.68544,0.000759318,0.000759318,0.000759318
57,17.3268,0.72103,1.40188,1.16559,0.95519,0.25,0.60995,0.31005,1.524,3.5954,2.8239,0.000742815,0.000742815,0.000742815
58,17.5878,0.78044,1.63252,1.35775,0.95519,0.25,0.60995,0.31005,1.524,3.5954,2.8239,0.000726312,0.000726312,0.000726312
59,17.8518,0.62706,1.33804,1.13407,0.95519,0.25,0.60995,0.31005,1.524,3.5954,2.8239,0.000709809,0.000709809,0.000709809
60,18.1163,0.70844,1.44545,1.19511,0.51595,0.72276,0.74188,0.31218,1.70454,3.41602,3.05856,0.000693305,0.000693305,0.000693305
61,18.3817,0.67491,1.42022,1.24059,0.51595,0.72276,0.74188,0.31218,1.70454,3.41602,3.05856,0.000676802,0.000676802,0.000676802
62,18.6523,0.87667,1.62064,1.4507,0.51595,0.72276,0.74188,0.31218,1.70454,3.41602,3.05856,0.000660299,0.000660299,0.000660299
63,18.924,0.65042,1.16632,1.17599,0.51595,0.72276,0.74188,0.31218,1.70454,3.41602,3.05856,0.000643795,0.000643795,0.000643795
