epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.950066,0.71019,3.61168,1.22085,0.00332,1,0.15998,0.11954,0.66129,3.60363,1.27562,0.000463056,0.000463056,0.000463056
2,1.50927,0.67843,3.5966,1.18703,0.00332,1,0.18673,0.13972,0.66129,3.60363,1.27562,0.001012,0.001012,0.001012
3,2.07254,0.93451,3.75709,1.40342,0.00332,1,0.18673,0.13972,0.66129,3.60363,1.27562,0.00155361,0.00155361,0.00155361
4,2.59071,0.90763,3.73595,1.43178,0.0033,1,0.12862,0.08512,0.64645,3.62058,1.24657,0.00163399,0.00163399,0.00163399
5,3.01924,0.84249,3.74667,1.46595,0.0033,1,0.12862,0.08512,0.64645,3.62058,1.24657,0.00162299,0.00162299,0.00162299
6,3.41442,0.82738,3.74681,1.29285,0.0033,1,0.12274,0.06306,0.62849,3.65153,1.21431,0.00161199,0.00161199,0.00161199
7,3.75932,0.92885,3.81825,1.48136,0.0033,1,0.12274,0.06306,0.62849,3.65153,1.21431,0.00160099,0.00160099,0.00160099
8,4.07707,0.85882,3.78617,1.28761,0.0033,1,0.12274,0.06306,0.62849,3.65153,1.21431,0.00158998,0.00158998,0.00158998
9,4.39034,1.48032,4.02263,2.27705,0.91298,0.25,0.36358,0.11762,1.73144,4.28797,2.87861,0.00157898,0.00157898,0.00157898
10,4.71682,1.82907,4.06626,2.72822,0.91298,0.25,0.36358,0.11762,1.73144,4.28797,2.87861,0.00156798,0.00156798,0.00156798
11,5.03552,2.08479,3.89735,2.90408,0.65499,0.25,0.49208,0.13326,1.53973,4.09816,2.35209,0.00155698,0.00155698,0.00155698
12,5.36463,1.9762,4.07462,3.0962,0.65499,0.25,0.49208,0.13326,1.53973,4.09816,2.35209,0.00154598,0.00154598,0.00154598
13,5.68013,2.00326,4.19584,2.80944,0.65499,0.25,0.49208,0.13326,1.53973,4.09816,2.35209,0.00153497,0.00153497,0.00153497
14,5.99431,2.47387,4.56117,3.58295,0.00348,0.58333,0.00535,0.00135,3.34161,13.9747,7.04392,0.00152397,0.00152397,0.00152397
15,6.30769,2.35161,4.19039,3.37221,0.00348,0.58333,0.00535,0.00135,3.34161,13.9747,7.04392,0.00151297,0.00151297,0.00151297
16,6.65156,2.35069,4.62673,3.386,0.17521,0.84942,0.60904,0.19353,1.84066,10.1681,6.30393,0.00150197,0.00150197,0.00150197
