epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.586298,0.83145,3.64905,1.42863,0.0033,1,0.18488,0.13099,0.6792,3.68072,1.26511,0.000463056,0.000463056,0.000463056
2,1.04728,0.98913,4.26412,1.44955,0.0033,1,0.17967,0.12506,0.6792,3.68072,1.26511,0.001012,0.001012,0.001012
3,1.50991,0.87681,3.68535,1.32177,0.0033,1,0.17967,0.12506,0.6792,3.68072,1.26511,0.00155361,0.00155361,0.00155361
4,1.95599,0.88786,3.65806,1.46018,0.0033,1,0.17862,0.12367,0.70965,3.68793,1.28433,0.00163399,0.00163399,0.00163399
5,2.37576,1.0811,3.79803,1.6957,0.0033,1,0.17862,0.12367,0.70965,3.68793,1.28433,0.00162299,0.00162299,0.00162299
6,2.78292,0.84405,3.72272,1.39613,0.00331,1,0.33147,0.23994,0.72349,3.69111,1.30022,0.00161199,0.00161199,0.00161199
7,3.17259,1.00326,3.76977,1.5506,0.00331,1,0.33147,0.23994,0.72349,3.69111,1.30022,0.00160099,0.00160099,0.00160099
8,3.53646,0.88826,3.81435,1.34356,0.00331,1,0.33147,0.23994,0.72349,3.69111,1.30022,0.00158998,0.00158998,0.00158998
9,3.88598,0.92218,3.73647,1.48919,0.00331,1,0.12811,0.09416,0.7397,3.70369,1.31039,0.00157898,0.00157898,0.00157898
10,4.21731,0.94958,3.73612,1.41663,0.00331,1,0.12811,0.09416,0.7397,3.70369,1.31039,0.00156798,0.00156798,0.00156798
11,4.55738,1.3153,4.50444,1.72943,0.00201,0.58333,0.04272,0.00586,3.41931,4.9334,7.86026,0.00155698,0.00155698,0.00155698
12,4.88832,2.46183,4.7391,3.20352,0.00201,0.58333,0.04272,0.00586,3.41931,4.9334,7.86026,0.00154598,0.00154598,0.00154598
13,5.21218,2.28996,4.2078,3.03859,0.00201,0.58333,0.04272,0.00586,3.41931,4.9334,7.86026,0.00153497,0.00153497,0.00153497
14,5.53978,2.219,3.90462,2.92475,0.43685,0.66667,0.73571,0.24926,1.86933,3.55118,3.44818,0.00152397,0.00152397,0.00152397
15,5.8886,2.21174,3.79258,2.86687,0.43685,0.66667,0.73571,0.24926,1.86933,3.55118,3.44818,0.00151297,0.00151297,0.00151297
16,6.2282,2.13174,3.61612,2.79748,0.70116,0.25,0.19843,0.07558,2.35567,5.12367,3.90632,0.00150197,0.00150197,0.00150197
17,6.56104,1.45138,3.44868,2.1489,0.70116,0.25,0.19843,0.07558,2.35567,5.12367,3.90632,0.00149096,0.00149096,0.00149096
18,6.88682,1.72178,3.70084,2.39349,0.70116,0.25,0.19843,0.07558,2.35567,5.12367,3.90632,0.00147996,0.00147996,0.00147996
