epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.576682,0.83228,3.78359,1.51405,0.00333,1,0.28318,0.21606,0.90965,3.71839,1.23917,0.000463056,0.000463056,0.000463056
2,1.03859,1.01152,4.24108,1.51587,0.00333,1,0.28658,0.21934,0.90965,3.71839,1.23917,0.001012,0.001012,0.001012
3,1.44171,1.01724,3.81714,1.48929,0.00333,1,0.28658,0.21934,0.90965,3.71839,1.23917,0.00155361,0.00155361,0.00155361
4,1.79918,0.85341,3.75143,1.4699,0.00334,1,0.29226,0.22096,0.8953,3.73339,1.24811,0.00163399,0.00163399,0.00163399
5,2.15518,1.1046,3.85596,1.7405,0.00334,1,0.29226,0.22096,0.8953,3.73339,1.24811,0.00162299,0.00162299,0.00162299
6,2.49069,0.84914,3.71873,1.49151,0.00337,1,0.28578,0.21577,1.00398,3.77404,1.29482,0.00161199,0.00161199,0.00161199
7,2.82512,1.02165,3.81195,1.5819,0.00337,1,0.28578,0.21577,1.00398,3.77404,1.29482,0.00160099,0.00160099,0.00160099
8,3.16313,0.8121,3.77752,1.26598,0.00337,1,0.28578,0.21577,1.00398,3.77404,1.29482,0.00158998,0.00158998,0.00158998
9,3.48765,1.5437,4.06316,2.46774,0.00061,0.16667,0.00095,0.00019,3.10357,6.37602,3.83637,0.00157898,0.00157898,0.00157898
10,3.80991,2.00533,4.37529,3.21033,0.00061,0.16667,0.00095,0.00019,3.10357,6.37602,3.83637,0.00156798,0.00156798,0.00156798
11,4.13893,2.25442,4.48036,3.37116,0.00269,0.83333,0.00858,0.00175,2.91934,5.7084,3.4918,0.00155698,0.00155698,0.00155698
12,4.46752,2.23004,4.39546,3.27322,0.00269,0.83333,0.00858,0.00175,2.91934,5.7084,3.4918,0.00154598,0.00154598,0.00154598
13,4.78756,2.22018,4.32307,3.24987,0.00269,0.83333,0.00858,0.00175,2.91934,5.7084,3.4918,0.00153497,0.00153497,0.00153497
14,5.13647,1.82947,3.68255,2.95555,0.02001,0.16667,0.01983,0.00314,2.07172,4.90096,3.41867,0.00152397,0.00152397,0.00152397
15,5.48256,1.56773,3.59333,2.75553,0.02001,0.16667,0.01983,0.00314,2.07172,4.90096,3.41867,0.00151297,0.00151297,0.00151297
16,5.81863,1.691,3.80475,2.67793,0.00278,0.83333,0.00925,0.00231,2.34578,5.59558,4.13661,0.00150197,0.00150197,0.00150197
17,6.16965,1.8916,3.83825,2.73707,0.00278,0.83333,0.00925,0.00231,2.34578,5.59558,4.13661,0.00149096,0.00149096,0.00149096
18,6.51677,2.07483,4.06271,2.86069,0.00278,0.83333,0.00925,0.00231,2.34578,5.59558,4.13661,0.00147996,0.00147996,0.00147996
19,6.90863,1.65004,3.51507,2.57695,0.03015,0.41667,0.05792,0.00761,2.89253,5.57809,4.36673,0.00146896,0.00146896,0.00146896
20,7.25625,1.81283,3.39535,2.79276,0.03015,0.41667,0.05792,0.00761,2.89253,5.57809,4.36673,0.00145796,0.00145796,0.00145796
21,7.63018,1.81875,3.55691,2.74751,0.66649,0.16667,0.18501,0.02463,2.44629,4.54048,3.95326,0.00144696,0.00144696,0.00144696
22,7.98331,1.66264,3.44585,2.49679,0.66649,0.16667,0.18501,0.02463,2.44629,4.54048,3.95326,0.00143595,0.00143595,0.00143595
23,8.31182,1.39424,3.61385,2.50157,0.66649,0.16667,0.18501,0.02463,2.44629,4.54048,3.95326,0.00142495,0.00142495,0.00142495
24,8.65734,1.49516,2.95707,2.22854,0.94774,0.16667,0.26881,0.03592,2.3136,5.56722,3.6054,0.00141395,0.00141395,0.00141395
25,8.98597,1.2322,3.09381,2.13606,0.94774,0.16667,0.26881,0.03592,2.3136,5.56722,3.6054,0.00140295,0.00140295,0.00140295
26,9.33004,1.48541,3.10671,2.31182,0.97858,0.16667,0.22285,0.09273,1.9644,4.8999,3.38463,0.00139195,0.00139195,0.00139195
27,9.68005,1.21799,2.63907,2.04618,0.97858,0.16667,0.22285,0.09273,1.9644,4.8999,3.38463,0.00138094,0.00138094,0.00138094
28,10.0316,1.30107,2.73101,2.09685,0.97858,0.16667,0.22285,0.09273,1.9644,4.8999,3.38463,0.00136994,0.00136994,0.00136994
29,10.3948,1.1455,2.63579,1.9043,0.96576,0.16667,0.21867,0.11153,1.67618,4.1478,2.78052,0.00135894,0.00135894,0.00135894
30,10.7744,1.25005,2.56554,1.88153,0.96576,0.16667,0.21867,0.11153,1.67618,4.1478,2.78052,0.00134794,0.00134794,0.00134794
31,11.1339,1.23703,2.6336,1.98672,0.45331,0.58333,0.38265,0.25638,1.65745,4.46045,2.3556,0.00133693,0.00133693,0.00133693
32,11.4777,1.17769,2.58114,1.96858,0.45331,0.58333,0.38265,0.25638,1.65745,4.46045,2.3556,0.00132593,0.00132593,0.00132593
33,11.8297,1.17429,2.63125,2.02458,0.45331,0.58333,0.38265,0.25638,1.65745,4.46045,2.3556,0.00131493,0.00131493,0.00131493
34,12.2167,1.18404,2.48568,1.82542,0.60306,0.58333,0.48443,0.17943,2.00001,3.77608,2.6126,0.00130393,0.00130393,0.00130393
35,12.5595,1.1994,2.56057,1.89735,0.60306,0.58333,0.48443,0.17943,2.00001,3.77608,2.6126,0.00129293,0.00129293,0.00129293
36,12.9247,1.13991,2.43081,1.85696,0.3719,0.41667,0.43747,0.19938,1.77762,4.07115,2.56088,0.00128192,0.00128192,0.00128192
37,13.2862,1.05559,2.27926,1.7007,0.3719,0.41667,0.43747,0.19938,1.77762,4.07115,2.56088,0.00127092,0.00127092,0.00127092
38,13.6483,1.12981,2.23326,1.71174,0.3719,0.41667,0.43747,0.19938,1.77762,4.07115,2.56088,0.00125992,0.00125992,0.00125992
39,13.9842,1.07829,2.34897,1.77634,0.43943,0.41667,0.43589,0.26757,1.68115,3.82946,2.37281,0.00124892,0.00124892,0.00124892
40,14.3272,0.98103,2.17915,1.63029,0.43943,0.41667,0.43589,0.26757,1.68115,3.82946,2.37281,0.00123791,0.00123791,0.00123791
41,14.6864,1.31097,2.48429,1.81646,0.37179,0.58333,0.46,0.18965,1.72023,4.24533,2.4051,0.00122691,0.00122691,0.00122691
42,15.0271,1.07159,2.13657,1.63588,0.37179,0.58333,0.46,0.18965,1.72023,4.24533,2.4051,0.00121591,0.00121591,0.00121591
43,15.3856,0.81156,2.08286,1.50162,0.37179,0.58333,0.46,0.18965,1.72023,4.24533,2.4051,0.00120491,0.00120491,0.00120491
44,15.7515,1.09964,2.13111,1.53087,1,0.32083,0.58164,0.31549,1.64756,4.24585,2.30978,0.00119391,0.00119391,0.00119391
45,16.1196,0.94608,1.91362,1.61408,1,0.32083,0.58164,0.31549,1.64756,4.24585,2.30978,0.0011829,0.0011829,0.0011829
46,16.4803,0.92994,1.96401,1.45965,0.43408,0.58333,0.52721,0.22894,1.6401,4.15767,2.33723,0.0011719,0.0011719,0.0011719
47,16.8172,0.85694,1.85649,1.55813,0.43408,0.58333,0.52721,0.22894,1.6401,4.15767,2.33723,0.0011609,0.0011609,0.0011609
48,17.1668,0.97798,1.9093,1.62681,0.43408,0.58333,0.52721,0.22894,1.6401,4.15767,2.33723,0.0011499,0.0011499,0.0011499
49,17.5424,1.00981,2.01978,1.61409,0.42434,0.58333,0.51091,0.21263,1.71706,4.16046,2.32256,0.00113889,0.00113889,0.00113889
50,17.9029,0.90555,1.8731,1.51089,0.42434,0.58333,0.51091,0.21263,1.71706,4.16046,2.32256,0.00112789,0.00112789,0.00112789
51,18.2308,0.8582,1.71467,1.41423,0.56906,0.41667,0.36756,0.22809,1.76793,3.78248,2.29393,0.00111689,0.00111689,0.00111689
52,18.5583,1.12511,1.81062,1.80028,0.56906,0.41667,0.36756,0.22809,1.76793,3.78248,2.29393,0.00110589,0.00110589,0.00110589
53,18.8768,0.83946,1.99179,1.46864,0.56906,0.41667,0.36756,0.22809,1.76793,3.78248,2.29393,0.00109489,0.00109489,0.00109489
54,19.237,0.93106,1.8391,1.45327,0.54779,0.58333,0.58217,0.1775,1.90789,3.71198,2.68074,0.00108388,0.00108388,0.00108388
55,19.5764,0.79768,1.75283,1.48328,0.54779,0.58333,0.58217,0.1775,1.90789,3.71198,2.68074,0.00107288,0.00107288,0.00107288
56,19.931,0.83213,1.77991,1.43148,0.52092,0.58333,0.58056,0.25062,2.01126,3.30906,2.70312,0.00106188,0.00106188,0.00106188
57,20.2667,0.90148,1.88767,1.51071,0.52092,0.58333,0.58056,0.25062,2.01126,3.30906,2.70312,0.00105088,0.00105088,0.00105088
58,20.5926,0.94398,1.66967,1.48357,0.52092,0.58333,0.58056,0.25062,2.01126,3.30906,2.70312,0.00103987,0.00103987,0.00103987
59,20.9358,0.84558,1.68634,1.39669,0.48232,0.58333,0.53664,0.23843,1.87508,3.88714,2.48223,0.00102887,0.00102887,0.00102887
60,21.2865,0.82159,1.68626,1.37534,0.48232,0.58333,0.53664,0.23843,1.87508,3.88714,2.48223,0.00101787,0.00101787,0.00101787
61,21.6052,0.8306,1.78009,1.33707,0.43076,0.58333,0.52909,0.23339,1.82485,4.313,2.38333,0.00100687,0.00100687,0.00100687
62,21.9528,0.72306,1.57448,1.23443,0.43076,0.58333,0.52909,0.23339,1.82485,4.313,2.38333,0.000995866,0.000995866,0.000995866
63,22.2746,0.71992,1.63392,1.28657,0.43076,0.58333,0.52909,0.23339,1.82485,4.313,2.38333,0.000984864,0.000984864,0.000984864
64,22.5965,0.8345,1.6515,1.35435,0.38984,0.58333,0.58055,0.19301,1.96549,3.7426,2.60215,0.000973861,0.000973861,0.000973861
65,22.917,0.61336,1.44892,1.27611,0.38984,0.58333,0.58055,0.19301,1.96549,3.7426,2.60215,0.000962859,0.000962859,0.000962859
66,23.2477,0.81234,1.68436,1.44099,0.40804,0.58333,0.58,0.20089,1.73954,3.31418,2.23558,0.000951857,0.000951857,0.000951857
67,23.57,0.71286,1.63977,1.32645,0.40804,0.58333,0.58,0.20089,1.73954,3.31418,2.23558,0.000940855,0.000940855,0.000940855
68,23.9183,0.64975,1.61458,1.17891,0.40804,0.58333,0.58,0.20089,1.73954,3.31418,2.23558,0.000929853,0.000929853,0.000929853
69,24.2566,0.7513,1.5494,1.25148,0.80957,0.58333,0.58,0.28705,1.74927,3.03235,2.23119,0.00091885,0.00091885,0.00091885
70,24.5818,0.73146,1.50968,1.3464,0.80957,0.58333,0.58,0.28705,1.74927,3.03235,2.23119,0.000907848,0.000907848,0.000907848
71,24.9481,0.64757,1.44894,1.33778,0.90964,0.58333,0.59053,0.30469,1.72211,2.66113,2.28154,0.000896846,0.000896846,0.000896846
72,25.3014,0.75031,1.53594,1.29714,0.90964,0.58333,0.59053,0.30469,1.72211,2.66113,2.28154,0.000885844,0.000885844,0.000885844
73,25.6385,0.6604,1.56231,1.44075,0.90964,0.58333,0.59053,0.30469,1.72211,2.66113,2.28154,0.000874842,0.000874842,0.000874842
74,25.9659,0.83006,1.43806,1.33584,0.92089,0.58333,0.58166,0.31842,1.73004,2.73868,2.30762,0.000863839,0.000863839,0.000863839
75,26.3046,0.66377,1.47898,1.27899,0.92089,0.58333,0.58166,0.31842,1.73004,2.73868,2.30762,0.000852837,0.000852837,0.000852837
76,26.6566,0.64724,1.47741,1.32775,0.87973,0.58333,0.58402,0.23564,1.86407,2.80863,2.52422,0.000841835,0.000841835,0.000841835
77,26.9884,0.70668,1.55575,1.30304,0.87973,0.58333,0.58402,0.23564,1.86407,2.80863,2.52422,0.000830833,0.000830833,0.000830833
78,27.3323,0.67796,1.52615,1.2397,0.87973,0.58333,0.58402,0.23564,1.86407,2.80863,2.52422,0.000819831,0.000819831,0.000819831
79,27.668,0.73024,1.37155,1.32795,0.85955,0.58333,0.58,0.23267,1.83669,2.84326,2.53668,0.000808828,0.000808828,0.000808828
80,27.9924,0.63548,1.34548,1.24034,0.85955,0.58333,0.58,0.23267,1.83669,2.84326,2.53668,0.000797826,0.000797826,0.000797826
81,28.329,0.6295,1.42537,1.19868,0.81762,0.58333,0.58063,0.26646,1.72042,2.96303,2.38652,0.000786824,0.000786824,0.000786824
82,28.6885,0.55262,1.27029,1.19197,0.81762,0.58333,0.58063,0.26646,1.72042,2.96303,2.38652,0.000775822,0.000775822,0.000775822
83,29.0188,0.63217,1.32325,1.18612,0.81762,0.58333,0.58063,0.26646,1.72042,2.96303,2.38652,0.00076482,0.00076482,0.00076482
84,29.3685,0.58054,1.50861,1.08012,0.71783,0.58333,0.60342,0.29521,1.65552,2.79871,2.33155,0.000753817,0.000753817,0.000753817
